model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Model 1 -- Historical Flood Characteristics,0.6599,0.6594,0.6607,0.6536,0.6531
Model 2 -- Physical Exposure Only,0.3673,0.3556,0.3679,0.359,0.3587
