feature,importance
percent_flooded_area,0.15780190998442695
total_animal_fatalities,0.15693952059585853
corrected_percent_flooded_area,0.15665425573132946
std_flood_duration,0.1473932154926338
permanent_water,0.1338438038291749
max_flood_duration,0.13142659720560695
median_flood_duration,0.07527101190769407
total_human_displaced,0.0406696852532755
