feature,importance,std,rank
total_animal_fatalities,0.16380961840055447,0.03194865044912306,1
max_flood_duration,0.11180422462216112,0.030941853321982318,2
std_flood_duration,0.07914006132197794,0.016168213328211653,3
median_flood_duration,0.04662055053677362,0.01961879184079273,4
corrected_percent_flooded_area,0.03248500238807533,0.018516128899793878,5
percent_flooded_area,0.025718345001277024,0.023306094977405656,6
permanent_water,0.016981115724124467,0.020250239658453652,7
total_human_displaced,0.008086227749978744,0.008235435560294794,8
