district,state,flood_event_count,avg_flood_duration,max_flood_duration,median_flood_duration,std_flood_duration,total_area_affected,avg_area_affected,total_human_fatalities,total_human_injuries,total_human_displaced,total_animal_fatalities,severe_event_count,percent_flooded_area,permanent_water,corrected_percent_flooded_area,population,impact_mean_flood_duration,impact_human_fatalities,impact_human_injuries,dfsi,risk_class
Nagaur,RAJASTHAN,15,27.733333333333334,365.0,3.0,93.33845224057804,0.0,,284.0,0.0,0.0,586.0,0.0,0.318324761,0.004782392,0.313542369,3826407.0,24.0,30.0,0.0,13.9140218797126,Moderate
Vellore,TAMIL NADU,18,6.333333333333333,16.0,3.0,6.135719910778963,0.0,,602.0,201.0,0.0,2738.0,0.0,0.459638695,0.021681234,0.437957461,1718125.0,6.0,38.0,23.0,13.909700707778669,Moderate
Puruliya,WEST BENGAL,0,,,,,,,,,,,,0.817297747,0.509342358,0.307955389,3407465.0,32.0,54.0,0.0,13.90934183977769,Moderate
Dhule,MAHARASHTRA,22,3.0454545454545454,10.0,2.0,2.497184561847749,0.0,,607.0,34.0,0.0,2553.0,0.0,0.703409115,0.475721838,0.227687277,2456650.0,4.0,58.0,4.0,13.905379214570328,Moderate
Pudukkottai,TAMIL NADU,18,6.222222222222222,16.0,4.0,5.568351277327286,0.0,,752.0,156.0,0.0,3028.0,0.0,0.699430563,0.085746267,0.613684296,1827769.0,6.0,46.0,4.0,13.88705312286014,Moderate
Virudhunagar,TAMIL NADU,14,6.5,16.0,3.5,5.958187643906494,0.0,,697.0,158.0,0.0,3948.0,0.0,1.881503151,0.022872843,1.858630308,2112777.0,6.0,26.0,5.0,13.884611316574295,Moderate
Vidisha,MADHYA PRADESH,19,3.4210526315789473,14.0,2.0,3.2543268543362087,0.0,,218.0,9.0,0.0,2754.0,0.0,0.912677122,0.277215122,0.635462,1710603.0,4.0,35.0,6.0,13.879084524896264,Moderate
Khammam,TELANGANA,9,3.6666666666666665,8.0,3.0,2.958039891549808,0.0,,27.0,0.0,1.0,2092.0,0.0,0.560077929,0.458663756,0.101414173,1521069.0,7.0,177.0,0.0,13.876207135960096,Moderate
Bhiwani,HARYANA,17,3.3529411764705883,14.0,2.0,3.2004135762153507,0.0,,237.0,33.0,0.0,0.0,0.0,2.188213606,0.000980524,2.187233082,1296415.0,5.0,31.0,6.0,13.861181519056318,Moderate
Jamnagar,GUJARAT,31,20.516129032258064,122.0,7.0,29.49335627757765,0.0,,2094.0,74.0,0.0,134729.0,0.0,0.665233515,0.663125755,0.00210776,1509267.0,20.0,236.0,8.0,13.855960916031115,Moderate
Kishtwar,JAMMU & KASHMIR,10,1.0,1.0,1.0,0.0,0.0,,30.0,30.0,19.0,0.0,0.0,0.405119324,0.12316298,0.281956344,231938.0,5.0,55.0,29.0,13.851620129028582,Moderate
Khordha,ODISHA,22,13.136363636363637,31.0,12.0,11.162417618937535,0.0,,790.0,0.0,0.0,54198.0,0.0,3.367308168,1.214771584,2.152536584,2574912.0,29.0,28.0,0.0,13.849602114839051,Moderate
Papum Pare,ARUNACHAL PRADESH,27,3.7037037037037037,17.0,1.0,4.286067004885758,0.0,,112.0,39.0,4.0,16.0,0.0,0.846868747,0.021507801,0.825360946,245559.0,4.0,73.0,9.0,13.819670181121646,Moderate
West Karbi Anglong,ASSAM,19,27.263157894736842,93.0,30.0,22.12550590824776,0.0,,1139.0,49.0,0.0,200101.0,0.0,3.225931636,0.096610327,3.129321309,363939.0,26.0,38.0,1.0,13.792560401075464,Moderate
Dima Hasao,ASSAM,75,6.906666666666666,93.0,1.0,15.40636349162372,0.0,,1135.0,49.0,0.0,164974.0,0.0,1.849797408,0.192925704,1.656871704,288305.0,8.0,41.0,1.0,13.785682728615216,Moderate
Rayagada,ODISHA,14,15.928571428571429,31.0,12.0,12.174780274209251,0.0,,512.0,0.0,0.0,22072.0,0.0,1.514776096,0.065376151,1.449399945,1127993.0,31.0,31.0,0.0,13.778353303027748,Moderate
Ahmadnagar,MAHARASHTRA,0,,,,,,,,,,,,0.691347983,0.697616588,0.006268605,5113145.0,4.0,50.0,18.0,13.744180643719863,Moderate
Guna,MADHYA PRADESH,13,4.461538461538462,15.0,2.0,4.9432678903633605,0.0,,187.0,6.0,0.0,2700.0,0.0,0.595168951,0.137757934,0.457411017,1461635.0,6.0,63.0,2.0,13.740949040317725,Moderate
East District,SIKKIM,0,,,,,,,,,,,,0.934153719,0.10298745,0.831166269,337891.0,2.0,146.0,8.0,13.733855784396166,Moderate
Jind,HARYANA,22,5.2727272727272725,21.0,2.0,5.977591633057727,0.0,,224.0,36.0,0.0,300.0,0.0,1.133905451,0.0,1.133905451,1489426.0,6.0,31.0,6.0,13.731396627652702,Moderate
Majuli,ASSAM,70,10.3,93.0,1.0,16.68493202029121,0.0,,1476.0,49.0,0.0,10138015.0,0.0,13.12975694,4.888294451,8.241462489,147155.0,11.0,54.0,1.0,13.73119882779235,Moderate
Rohtak,HARYANA,17,3.9411764705882355,14.0,2.0,3.896642597084285,0.0,,259.0,31.0,0.0,300.0,0.0,1.003708527,0.003867208,0.999841319,1194736.0,7.0,52.0,5.0,13.710172868710089,Moderate
Hoshangabad,MADHYA PRADESH,0,,,,,,,,,,,,2.346467017,0.970690301,1.375776716,1371450.0,5.0,53.0,0.0,13.706241370677152,Moderate
Thiruvallur,TAMIL NADU,20,5.75,16.0,3.0,5.447114156283026,0.0,,801.0,161.0,0.0,3998.0,0.0,2.527745598,2.390831933,0.136913665,4840586.0,6.0,44.0,6.0,13.673875251994277,Moderate
Balangir,ODISHA,13,16.46153846153846,31.0,14.0,12.580509956644475,0.0,,462.0,1.0,0.0,20756.0,0.0,1.245116533,0.149789566,1.095326967,2028038.0,32.0,25.0,0.0,13.663829374845571,Moderate
Leh,LADAKH,0,,,,,,,,,,,,0.46868104,0.486956079,0.018275039,158993.0,1.0,162.0,30.0,13.64846403214242,Moderate
Narmada,GUJARAT,24,10.958333333333334,31.0,6.0,12.270428101623084,0.0,,920.0,11.0,2.0,1913.0,0.0,5.679248253,2.564251605,3.114996648,694589.0,11.0,47.0,0.0,13.624414483992092,Moderate
Sehore,MADHYA PRADESH,17,4.235294117647059,14.0,3.0,4.054772061483633,0.0,,198.0,8.0,0.0,2654.0,0.0,1.308962201,0.443833329,0.865128872,1581777.0,5.0,36.0,2.0,13.624297549713402,Moderate
Morbi,GUJARAT,24,21.291666666666668,122.0,7.0,32.76063274680473,0.0,,1162.0,47.0,0.0,26929.0,0.0,0.897578925,1.089593543,0.192014618,1099951.0,21.0,48.0,2.0,13.62129132955512,Moderate
Bargarh,ODISHA,24,13.083333333333334,31.0,8.5,10.5703303665482,0.0,,1707.0,0.0,0.0,84958.0,0.0,1.309118184,1.345216816,0.036098632,1562701.0,24.0,139.0,0.0,13.614087660258908,Moderate
Hathras,UTTAR PRADESH,12,13.833333333333334,89.0,2.0,24.975745810443357,0.0,,1588.0,0.0,0.0,3940.0,0.0,1.329597887,0.0,1.329597887,1789810.0,27.0,46.0,0.0,13.565689697624794,Moderate
Dewas,MADHYA PRADESH,11,4.0,14.0,2.0,4.024922359499621,0.0,,114.0,19.0,0.0,2150.0,0.0,1.037523564,0.405980697,0.631542867,1839994.0,5.0,17.0,18.0,13.55760707742869,Moderate
Banswara,RAJASTHAN,23,18.26086956521739,365.0,1.0,75.61758897800068,0.0,,665.0,48.0,0.0,75300.0,0.0,0.908342871,0.925230196,0.016887325,2229890.0,17.0,72.0,8.0,13.54361333571918,Moderate
Aravalli,GUJARAT,0,,,,,,,,,,,,1.017301706,0.334042991,0.683258715,1276998.0,24.0,39.0,1.0,13.53249300044823,Moderate
Warangal Rural,TELANGANA,0,,,,,,,,,,,,0.420854233,0.3791028,0.041751433,811309.0,6.0,134.0,2.0,13.50247233551987,Moderate
Betul,MADHYA PRADESH,18,5.0,14.0,3.5,3.940737464575112,0.0,,172.0,9.0,0.0,40150.0,0.0,0.659609051,0.086627039,0.572982012,1776782.0,6.0,26.0,2.0,13.474591542759846,Moderate
Kancheepuram,TAMIL NADU,15,6.266666666666667,16.0,5.0,5.885413769489384,0.0,,646.0,161.0,0.0,2978.0,0.0,2.694220448,0.935998334,1.758222114,1542112.0,6.0,28.0,6.0,13.470096546622718,Moderate
Kaithal,HARYANA,11,3.4545454545454546,14.0,2.0,3.7513633885198687,0.0,,237.0,21.0,0.0,0.0,0.0,3.116757085,0.00046637,3.116290715,1238219.0,6.0,30.0,3.0,13.45663716226992,Moderate
Kathua,JAMMU & KASHMIR,7,1.1428571428571428,2.0,1.0,0.3779644730092272,0.0,,25.0,3.0,0.0,36.0,0.0,1.038752523,0.993134601,0.045617922,639161.0,4.0,112.0,21.0,13.453405870231894,Moderate
North Tripura,TRIPURA,28,3.9285714285714284,21.0,2.0,4.60216190283373,0.0,,181.0,10.0,0.0,0.0,0.0,1.542869002,0.0,1.542869002,417050.0,4.0,96.0,1.0,13.425164734923865,Moderate
Chikkaballapura,KARNATAKA,34,6.5588235294117645,31.0,3.5,8.532260265641321,0.0,,658.0,60.0,3.0,7992.0,0.0,0.292140809,0.110670649,0.18147016,1326139.0,7.0,34.0,7.0,13.40917971659012,Moderate
Botad,GUJARAT,25,16.8,120.0,7.0,24.60182920028509,0.0,,921.0,22.0,2.0,10386.0,0.0,0.962947549,0.085839662,0.877107887,737921.0,17.0,38.0,1.0,13.385629591123912,Moderate
Kallakurichi,TAMIL NADU,10,9.6,16.0,12.5,6.275171533733382,0.0,,596.0,156.0,0.0,2738.0,0.0,1.726935239,0.016931089,1.71000415,1575629.0,10.0,20.0,4.0,13.373623675453258,Moderate
Tawang,ARUNACHAL PRADESH,31,5.967741935483871,62.0,1.0,11.347492736188443,0.0,,158.0,43.0,2.0,21.0,0.0,1.104117118,0.227751689,0.876365429,60141.0,6.0,92.0,8.0,13.365469548955232,Moderate
Udaipur,RAJASTHAN,32,13.84375,365.0,1.0,64.12191481605504,0.0,,728.0,18.0,0.0,76036.0,0.0,0.289382661,0.290943084,0.001560423,3607694.0,14.0,97.0,6.0,13.340999144048794,Moderate
Tiruppur,TAMIL NADU,13,7.076923076923077,16.0,5.0,5.894369325346839,0.0,,688.0,157.0,0.0,3985.0,0.0,0.635364224,0.084088984,0.55127524,3131866.0,8.0,20.0,4.0,13.330983392681423,Moderate
Sonipat,HARYANA,26,4.884615384615385,21.0,2.5,5.420899726627845,0.0,,170.0,20.0,0.0,0.0,0.0,0.905127272,0.0,0.905127272,1771137.0,6.0,22.0,5.0,13.321513999514549,Moderate
Karur,TAMIL NADU,13,6.923076923076923,16.0,4.0,5.978594294948416,0.0,,702.0,156.0,0.0,3948.0,0.0,1.785192578,0.062914047,1.722278531,1234912.0,7.0,23.0,4.0,13.300072728632385,Moderate
Bastar,CHHATTISGARH,5,3.6,7.0,3.0,2.4083189157584592,0.0,,13.0,6.0,0.0,0.0,0.0,1.887109361,0.254405482,1.632703879,948753.0,4.0,9.0,38.0,13.274181260306246,Moderate
Medak,TELANGANA,9,17.0,107.0,2.0,35.024991077800436,0.0,,58.0,9.0,0.0,6839.0,0.0,1.038975884,0.130629891,0.908345993,858985.0,14.0,38.0,1.0,13.270380934338942,Moderate
Gondiya,MAHARASHTRA,0,,,,,,,,,,,,1.020830235,0.911616345,0.10921389,1579976.0,5.0,35.0,10.0,13.257668751528763,Moderate
Sivaganga,TAMIL NADU,8,9.75,16.0,12.5,6.041522986797287,0.0,,575.0,156.0,0.0,2810.0,0.0,1.984480953,0.051279472,1.933201481,1534446.0,10.0,16.0,4.0,13.241569375849704,Moderate
Dausa,RAJASTHAN,10,39.2,365.0,2.5,114.49677336550192,0.0,,210.0,39.0,0.0,0.0,0.0,0.503371084,0.004574126,0.498796958,2162212.0,30.0,17.0,3.0,13.21177452936812,Moderate
Yamunanagar,HARYANA,22,3.227272727272727,14.0,2.0,3.766162859460897,0.0,,75.0,19.0,0.0,1600.0,0.0,5.773638579,0.042011596,5.731626983,1366309.0,5.0,11.0,5.0,13.206928094938394,Moderate
Mahisagar,GUJARAT,13,25.53846153846154,122.0,21.0,31.306589787176822,0.0,,978.0,36.0,2.0,17656.0,0.0,2.501932587,1.803625613,0.698306974,1041596.0,25.0,33.0,1.0,13.187004050682395,Moderate
Namakkal,TAMIL NADU,13,7.538461538461538,16.0,7.0,5.952805845640983,0.0,,732.0,156.0,0.0,3998.0,0.0,0.411626715,0.022086664,0.389540051,2030160.0,8.0,29.0,4.0,13.186444809565328,Moderate
Nizamabad,TELANGANA,16,5.75,31.0,1.0,9.869143833180262,0.0,,62.0,9.0,2.0,6906.0,0.0,1.414979667,1.37012829,0.044851377,1716963.0,8.0,95.0,1.0,13.178789742186606,Moderate
Warangal Urban,TELANGANA,0,,,,,,,,,,,,0.487587909,0.354480511,0.133107398,1152989.0,7.0,127.0,1.0,13.167522816940686,Moderate
Baudh,ODISHA,0,,,,,,,,,,,,2.608651472,0.899336006,1.709315466,520532.0,32.0,30.0,0.0,13.156021760829558,Moderate
Ramban,JAMMU & KASHMIR,9,1.0,1.0,1.0,0.0,0.0,,13.0,9.0,0.0,6.0,0.0,0.754358554,0.309949623,0.444408931,360350.0,5.0,49.0,18.0,13.13604914030907,Moderate
Bhind,MADHYA PRADESH,12,4.833333333333333,14.0,4.0,3.785938897200183,0.0,,143.0,0.0,0.0,2050.0,0.0,2.808721208,0.119319241,2.689401967,1937516.0,6.0,25.0,0.0,13.121998929581226,Moderate
Rajnandgaon,CHHATTISGARH,10,2.1,5.0,2.0,1.286683937707919,0.0,,54.0,17.0,0.0,42.0,0.0,0.602269912,0.353818517,0.248451395,1792617.0,2.0,23.0,14.0,13.118907039563627,Moderate
Subarnapur,ODISHA,13,17.615384615384617,31.0,16.0,11.722758929666552,0.0,,499.0,0.0,0.0,54011.0,0.0,3.493045358,1.212807104,2.280238254,663973.0,33.0,26.0,0.0,13.102763511412055,Moderate
Tapi,GUJARAT,25,18.52,120.0,7.0,24.93344474128408,0.0,,948.0,36.0,0.0,1333.0,0.0,3.084521179,2.984765412,0.099755767,952637.0,18.0,45.0,3.0,13.096050919214967,Moderate
Ariyalur,TAMIL NADU,14,6.857142857142857,16.0,4.0,5.668497872617413,0.0,,697.0,156.0,0.0,4018.0,0.0,2.450977499,0.08746038,2.363517119,772923.0,7.0,23.0,4.0,13.089804218720658,Moderate
Gwalior,MADHYA PRADESH,16,4.3125,14.0,3.5,3.321018919950121,0.0,,191.0,0.0,0.0,2035.0,0.0,0.637436542,0.480315571,0.157120971,2515503.0,5.0,46.0,2.0,13.086771542139497,Moderate
Bandipore,JAMMU & KASHMIR,0,,,,,,,,,,,,2.552861234,0.616409408,1.936451826,378179.0,7.0,30.0,4.0,13.083772934787342,Moderate
Faridabad,HARYANA,16,5.0625,16.0,3.0,5.065816814690401,0.0,,91.0,11.0,0.0,17.0,0.0,6.911149485,0.0,6.911149485,2383525.0,7.0,14.0,2.0,13.063797652273236,Moderate
Ramanagara,KARNATAKA,12,18.333333333333332,31.0,22.0,13.316656236958785,0.0,,617.0,34.0,0.0,9151.0,0.0,1.21544654,0.259579863,0.955866677,1168086.0,17.0,23.0,1.0,13.056740386416603,Moderate
Sonbhadra,UTTAR PRADESH,16,11.0625,89.0,2.0,21.992328207809198,0.0,,1703.0,0.0,0.0,4060.0,0.0,2.644815378,2.70977361,0.064958232,2259539.0,24.0,50.0,0.0,13.056183216198006,Moderate
Palamu,JHARKHAND,7,2.142857142857143,4.0,2.0,1.3451854182690985,0.0,,70.0,5.0,0.0,51.0,0.0,1.260455563,0.197368643,1.06308692,2294123.0,8.0,23.0,1.0,13.05444301227634,Moderate
Nuapada,ODISHA,12,17.833333333333332,31.0,17.5,12.141838510878095,0.0,,470.0,0.0,0.0,20794.0,0.0,1.647190051,0.35257892,1.294611131,702602.0,34.0,25.0,0.0,13.038948634816052,Moderate
Udupi,KARNATAKA,37,10.486486486486486,31.0,4.0,11.741714860609921,0.0,,968.0,76.0,50.0,9310.0,0.0,0.74927375,0.741689148,0.007584602,1144919.0,10.0,58.0,21.0,13.008514448906736,Moderate
Mansa,PUNJAB,25,4.16,26.0,2.0,5.428934824929595,0.0,,405.0,6.0,0.0,6293.0,0.0,2.763547618,0.004390434,2.759157184,742955.0,5.0,37.0,0.0,13.005437411372714,Moderate
West Kameng,ARUNACHAL PRADESH,80,4.175,17.0,1.0,4.719405133078382,0.0,,274.0,119.0,6.0,1072.0,0.0,1.93207052,0.043990415,1.888080105,99039.0,4.0,22.0,6.0,12.988574519395987,Moderate
Tumakuru,KARNATAKA,34,9.588235294117647,31.0,4.0,11.404724292387924,0.0,,792.0,89.0,0.0,11247.0,0.0,0.340404409,0.284595715,0.055808694,2774415.0,17.0,25.0,2.0,12.981699460911374,Moderate
Chamarajanagara,KARNATAKA,1,1.0,1.0,1.0,,0.0,,1.0,0.0,0.0,0.0,0.0,2.083532915,0.145853665,1.93767925,1089392.0,9.0,20.0,1.0,12.976241045034715,Moderate
Dharmapuri,TAMIL NADU,15,6.266666666666667,16.0,3.0,5.812138365606275,0.0,,747.0,156.0,0.0,4033.0,0.0,0.764553583,0.519672081,0.244881502,1771524.0,6.0,28.0,4.0,12.963906917019216,Moderate
Rajgarh,MADHYA PRADESH,11,4.181818181818182,14.0,3.0,3.919647479510927,0.0,,68.0,11.0,0.0,2000.0,0.0,0.937282124,0.464455125,0.472826999,1797738.0,5.0,21.0,3.0,12.960728774648368,Moderate
Damoh,MADHYA PRADESH,11,5.7272727272727275,17.0,4.0,5.274294437949195,0.0,,144.0,0.0,0.0,40000.0,0.0,1.37672163,0.183081246,1.193640384,1437365.0,6.0,26.0,0.0,12.953807470822902,Moderate
Mahoba,UTTAR PRADESH,13,12.76923076923077,89.0,1.0,24.21485028570225,0.0,,1564.0,10.0,0.0,3956.0,0.0,0.539052412,0.300865401,0.238187011,1077440.0,26.0,35.0,1.0,12.917103678722318,Moderate
Kupwara,JAMMU & KASHMIR,6,1.1666666666666667,2.0,1.0,0.408248290463863,0.0,,8.0,3.0,0.0,0.0,0.0,0.534056594,0.014099434,0.51995716,1053524.0,5.0,37.0,2.0,12.911015617775956,Moderate
East Khasi Hills,MEGHALAYA,16,2.3125,10.0,1.0,2.6259918760981216,0.0,,70.0,12.0,4.0,20.0,0.0,1.226830999,0.077062889,1.14976811,1005453.0,2.0,20.0,9.0,12.893531577652482,Moderate
Mumbai Suburban,MAHARASHTRA,24,2.125,10.0,1.0,2.0707591550590494,0.0,,599.0,137.0,0.0,2003.0,0.0,0.915654785,0.914657543,0.000997242,10791581.0,3.0,145.0,77.0,12.892295185056971,Moderate
Hanumangarh,RAJASTHAN,7,3.7142857142857144,7.0,3.0,2.288688541085317,0.0,,166.0,1.0,0.0,0.0,0.0,3.719727987,0.012851681,3.706876306,2002775.0,7.0,12.0,0.0,12.891351268862383,Moderate
Srinagar,JAMMU & KASHMIR,3,1.6666666666666667,3.0,1.0,1.1547005383792517,0.0,,0.0,0.0,1.0,40.0,0.0,1.003599347,0.724666434,0.278932913,904040.0,6.0,73.0,7.0,12.888221332606244,Moderate
Anugul,ODISHA,17,14.882352941176471,31.0,14.0,11.682692074930634,0.0,,655.0,0.0,0.0,54011.0,0.0,1.964959616,1.692681852,0.272277764,1393181.0,34.0,24.0,0.0,12.81414308699189,Moderate
Udham Singh Nagar,UTTARAKHAND,0,,,,,,,,,,,,2.061876849,0.785339181,1.276537668,2171345.0,2.0,26.0,3.0,12.813095833142514,Moderate
Karauli,RAJASTHAN,8,49.25,365.0,1.5,127.70138157883358,0.0,,105.0,3.0,0.0,0.0,0.0,0.633480722,0.197979321,0.435501401,1777972.0,35.0,10.0,3.0,12.785134804609754,Moderate
Burhanpur,MADHYA PRADESH,13,5.384615384615385,14.0,3.0,4.592357084302525,0.0,,105.0,15.0,0.0,2075.0,0.0,0.821960718,0.136420671,0.685540047,917654.0,6.0,15.0,10.0,12.778778889751598,Moderate
Perambalur,TAMIL NADU,15,7.533333333333333,16.0,7.0,5.462425764996284,0.0,,756.0,156.0,0.0,3998.0,0.0,0.714228873,0.002767237,0.711461636,600175.0,8.0,32.0,4.0,12.76838110171406,Moderate
Devbhumi Dwarka,GUJARAT,1,120.0,120.0,120.0,,0.0,,81.0,4.0,0.0,220.0,0.0,0.632384691,0.65675835,0.024373659,898223.0,20.0,59.0,2.0,12.768307391455854,Moderate
Gajapati,ODISHA,16,14.0625,31.0,8.5,12.44437623989246,0.0,,461.0,0.0,0.0,20756.0,0.0,0.776854184,0.1973271,0.579527084,638094.0,29.0,25.0,0.0,12.730445509094396,Moderate
Noney,MANIPUR,5,5.8,17.0,3.0,6.723094525588644,0.0,,56.0,18.0,5.0,0.0,0.0,2.73207358,0.05487921,2.67719437,58122.0,6.0,56.0,18.0,12.728499352537504,Moderate
Fazilka,PUNJAB,20,5.75,30.0,2.0,8.232637231742553,0.0,,91.0,6.0,0.0,14.0,0.0,4.742047502,0.0,4.742047502,1143916.0,7.0,13.0,0.0,12.711655400142604,Moderate
Kurukshetra,HARYANA,18,5.111111111111111,21.0,2.5,5.849976258261414,0.0,,158.0,8.0,0.0,0.0,0.0,5.505038063,0.003818992,5.501219071,1080970.0,7.0,17.0,0.0,12.69188176334306,Moderate
Jhunjhunun,RAJASTHAN,1,30.0,30.0,30.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.337331328,0.000184082,0.337147246,2449782.0,6.0,22.0,2.0,12.688618436513297,Moderate
Purbi Singhbhum,JHARKHAND,0,,,,,,,,,,,,1.736697053,0.089703785,1.646993268,2787911.0,3.0,32.0,0.0,12.645560586066884,Moderate
Ranipet,TAMIL NADU,8,9.75,16.0,12.5,6.041522986797287,0.0,,575.0,156.0,0.0,2738.0,0.0,1.50587668,0.142824545,1.363052135,1198951.0,10.0,16.0,4.0,12.643814299855505,Moderate
Fatehabad,HARYANA,12,3.0833333333333335,14.0,2.0,3.7284735685686647,0.0,,55.0,14.0,0.0,1600.0,0.0,9.544000142,0.0,9.544000142,1056284.0,6.0,4.0,6.0,12.608094599668735,Moderate
Faridkot,PUNJAB,27,4.37037037037037,26.0,2.0,5.2561183992353735,0.0,,90.0,7.0,0.0,39.0,0.0,4.441457773,0.0,4.441457773,659286.0,5.0,15.0,1.0,12.569999024995894,Moderate
Nalgonda,TELANGANA,6,7.166666666666667,30.0,2.0,11.409060726749889,0.0,,56.0,9.0,0.0,6825.0,0.0,1.110181564,1.121014225,0.010832661,1795837.0,8.0,67.0,2.0,12.523449573878914,Moderate
Tirupathur,TAMIL NADU,7,11.0,16.0,14.0,5.291502622129181,0.0,,575.0,156.0,0.0,2738.0,0.0,0.890009742,0.007876167,0.882133575,1329320.0,11.0,16.0,4.0,12.510208774828982,Moderate
North,DELHI,17,2.0,7.0,1.0,2.1213203435596424,0.0,,53.0,44.0,0.0,25.0,0.0,1.725427554,0.0,1.725427554,2128488.0,3.0,19.0,9.0,12.505519713351603,Moderate
Dohad,GUJARAT,0,,,,,,,,,,,,0.331645594,0.201923678,0.129721916,2742293.0,25.0,25.0,0.0,12.50521505039512,Moderate
Bageshwar,UTTARAKHAND,8,1.5,4.0,1.0,1.0690449676496976,0.0,,114.0,28.0,5.0,25.0,0.0,0.57268385,0.001914048,0.570769802,256564.0,2.0,40.0,13.0,12.479758572738648,Moderate
Chhatarpur,MADHYA PRADESH,13,5.461538461538462,14.0,4.0,4.5573271518765,0.0,,142.0,0.0,0.0,45000.0,0.0,1.27766675,0.251215844,1.026450906,2100270.0,6.0,12.0,0.0,12.460824774657857,Moderate
Karimnagar,TELANGANA,15,4.4,30.0,2.0,7.375635565834309,0.0,,59.0,9.0,0.0,6824.0,0.0,1.016544336,1.029366402,0.012822066,1113366.0,7.0,140.0,1.0,12.450590881962183,Moderate
Tenkasi,TAMIL NADU,7,11.0,16.0,14.0,5.291502622129181,0.0,,575.0,156.0,0.0,2738.0,0.0,0.457961738,0.050554592,0.407407146,1653931.0,11.0,16.0,4.0,12.438608592591056,Moderate
Mahabubnagar,TELANGANA,9,2.111111111111111,8.0,1.0,2.3154073315749675,0.0,,4.0,0.0,0.0,0.0,0.0,0.520380467,0.103573838,0.416806629,1071711.0,6.0,40.0,0.0,12.413518304684972,Moderate
Ratlam,MADHYA PRADESH,9,4.222222222222222,14.0,2.0,4.437842318564782,0.0,,85.0,1.0,0.0,2000.0,0.0,0.690751655,0.102150461,0.588601194,1682145.0,6.0,24.0,0.0,12.364180423938164,Moderate
Bagalkote,KARNATAKA,3,1.0,1.0,1.0,0.0,0.0,,6.0,8.0,0.0,0.0,0.0,1.462562203,1.460163536,0.002398667,2065589.0,14.0,67.0,4.0,12.352264924637735,Moderate
Seoni,MADHYA PRADESH,15,5.266666666666667,14.0,3.0,5.119523787377475,0.0,,117.0,0.0,0.0,2000.0,0.0,1.235483561,0.815741223,0.419742338,1600897.0,5.0,18.0,0.0,12.338171071605162,Moderate
Jharsuguda,ODISHA,14,15.928571428571429,31.0,14.0,11.090288792204895,0.0,,623.0,0.0,0.0,51660.0,0.0,2.936283719,3.100195768,0.163912049,621362.0,31.0,44.0,0.0,12.322353113292673,Moderate
Dungarpur,RAJASTHAN,10,38.8,365.0,2.0,114.62770655958842,0.0,,163.0,39.0,0.0,0.0,0.0,0.586707161,0.388930127,0.197777034,1670388.0,30.0,10.0,3.0,12.3151833538887,Moderate
Alipurduar,WEST BENGAL,0,,,,,,,,,,,,4.056971682,0.017650059,4.039321623,1381430.0,5.0,19.0,0.0,12.287153516516195,Moderate
Hardwar,UTTARAKHAND,0,,,,,,,,,,,,2.049997612,0.174571933,1.875425679,2449262.0,6.0,15.0,0.0,12.275895813177405,Moderate
Osmanabad,MAHARASHTRA,0,,,,,,,,,,,,0.279521656,0.27922672,0.000294936,1913512.0,4.0,137.0,10.0,12.274168152976904,Moderate
Champawat,UTTARAKHAND,4,1.75,4.0,1.0,1.5,0.0,,97.0,29.0,5.0,25.0,0.0,1.472908997,0.256522301,1.216386696,293584.0,2.0,26.0,14.0,12.273131236919184,Moderate
Narsimhapur,MADHYA PRADESH,8,6.5,14.0,5.0,5.0142653642240695,0.0,,151.0,0.0,0.0,2654.0,0.0,2.214872889,0.238163477,1.976709412,1275736.0,7.0,14.0,0.0,12.272207128992587,Moderate
Jagatsinghapur,ODISHA,15,16.933333333333334,31.0,14.0,11.189706153850683,0.0,,681.0,0.0,0.0,54160.0,0.0,3.152171799,3.230232986,0.078061187,1268480.0,31.0,44.0,0.0,12.26514761315928,Moderate
Mahasamund,CHHATTISGARH,4,4.25,6.0,4.0,1.5000000000000002,0.0,,20.0,115.0,0.0,0.0,0.0,0.960933082,0.333392516,0.627540566,1179980.0,4.0,5.0,56.0,12.26337002920788,Moderate
Moga,PUNJAB,24,5.25,30.0,2.0,7.617200215987157,0.0,,96.0,12.0,0.0,14.0,0.0,2.73145838,0.0,2.73145838,1027279.0,6.0,8.0,1.0,12.249494272419687,Moderate
West Khasi Hills,MEGHALAYA,11,2.727272727272727,10.0,1.0,3.0689056385268376,0.0,,63.0,8.0,1.0,20.0,0.0,1.198133343,0.006185816,1.191947527,341864.0,3.0,18.0,5.0,12.234504460081457,Moderate
Panipat,HARYANA,17,4.117647058823529,14.0,2.0,3.9032414885127285,0.0,,143.0,8.0,0.0,1850.0,0.0,1.825319296,0.0,1.825319296,1456085.0,6.0,19.0,0.0,12.229658578335464,Moderate
Lalitpur,UTTAR PRADESH,14,12.285714285714286,89.0,1.5,23.335112438715022,0.0,,1571.0,23.0,0.0,3964.0,0.0,1.497263878,1.506086959,0.008823081,1495673.0,25.0,35.0,4.0,12.22704290043755,Moderate
Vijayapura,KARNATAKA,12,7.5,31.0,5.0,8.60760762877288,0.0,,857.0,35.0,0.0,7562.0,0.0,0.883343513,0.871904394,0.011439119,2612195.0,8.0,45.0,1.0,12.22306824443187,Moderate
