district,state,flood_event_count,avg_flood_duration,max_flood_duration,median_flood_duration,std_flood_duration,total_area_affected,avg_area_affected,total_human_fatalities,total_human_injuries,total_human_displaced,total_animal_fatalities,severe_event_count,percent_flooded_area,permanent_water,corrected_percent_flooded_area,population,impact_mean_flood_duration,impact_human_fatalities,impact_human_injuries,dfsi,risk_class
Jhalawar,RAJASTHAN,25,17.84,365.0,2.0,72.45382437571303,0.0,,250.0,10.0,0.0,50.0,0.0,1.321031828,0.380898218,0.94013361,1669164.0,17.0,35.0,6.0,14.608564014472394,High
Arwal,BIHAR,20,17.85,85.0,14.0,20.352873843371864,0.0,,2743.0,0.0,0.0,755.0,0.0,22.2718737,0.595563792,21.67630991,591972.0,27.0,85.0,0.0,14.60179082289652,High
Kodagu,KARNATAKA,59,6.406779661016949,31.0,3.0,9.038459290563043,0.0,,841.0,110.0,53.0,12611.0,0.0,0.795547476,0.154509876,0.6410376,575814.0,6.0,57.0,17.0,14.593232577967798,High
Chitradurga,KARNATAKA,32,8.625,31.0,3.0,11.212751957107269,0.0,,968.0,49.0,0.0,9159.0,0.0,0.426895091,0.23997582,0.186919271,1798153.0,9.0,99.0,3.0,14.586114591603268,High
Rae Bareli,UTTAR PRADESH,21,9.285714285714286,89.0,1.0,19.743715094031458,0.0,,1874.0,33.0,0.0,4423.0,0.0,5.209973941,0.023735469,5.186238472,2819588.0,30.0,45.0,0.0,14.578343910610434,High
Shivamogga,KARNATAKA,42,9.142857142857142,31.0,4.0,10.63948336489028,0.0,,966.0,79.0,53.0,9561.0,0.0,1.276369106,1.203198506,0.0731706,1877441.0,9.0,74.0,12.0,14.573367465271405,High
Davanagere,KARNATAKA,0,,,,,,,,,,,,0.757147753,0.419899366,0.337248387,2110205.0,11.0,57.0,6.0,14.5671206333669,High
Udalguri,ASSAM,67,9.82089552238806,93.0,1.0,16.640517704954945,0.0,,1324.0,53.0,3.0,5408937.0,0.0,3.138974031,0.003282254,3.135691777,909069.0,10.0,51.0,2.0,14.55326951500184,High
Rupnagar,PUNJAB,37,5.162162162162162,30.0,2.0,6.9781942646500745,0.0,,496.0,22.0,0.0,6534.0,0.0,8.530840592,0.471251752,8.05958884,716979.0,6.0,48.0,6.0,14.55015296383351,High
Kolar,KARNATAKA,26,8.115384615384615,31.0,3.0,10.538792807819776,0.0,,819.0,115.0,0.0,12247.0,0.0,0.261632224,0.109739276,0.151892948,1625062.0,8.0,78.0,21.0,14.532189534439569,High
Kushinagar,UTTAR PRADESH,15,12.733333333333333,89.0,2.0,22.464151335808243,0.0,,1683.0,0.0,0.0,4032.0,0.0,4.446808531,0.238357002,4.208451529,4300787.0,25.0,38.0,0.0,14.5257316692209,High
Panch Mahals,GUJARAT,24,22.708333333333332,122.0,7.0,32.57830588739619,0.0,,1455.0,40.0,2.0,17890.0,0.0,0.963141904,0.574815885,0.388326019,1953336.0,22.0,86.0,2.0,14.51254197973977,High
Solan,HIMACHAL PRADESH,65,4.984615384615385,99.0,2.0,13.164217964443793,0.0,,761.0,63.0,2.0,18212.0,0.0,0.404819031,0.124151886,0.280667145,678073.0,5.0,116.0,15.0,14.504602095216216,High
